lat;lon;escola;logradouro;num;cidade;cod
-5.79305950;-35.21439220;INST PE MIGUELINHO;R FONSECA E SILVA;1103;NATAL - RN;107
-5.74686940;-35.26030680;ESCOLA ESTADUAL 15 DE OUTUBRO;AV. DAS FRONTEIRAS;3142;NATAL - RN;108
-5.74731520;-35.2447810;ESCOLA ESTADUAL DOM JOSE ADELINO DANTAS;RUA BRAGANTINA;139;NATAL - RN;112
-5.794478499999999;-35.21095310;ESCOLA ESTADUAL  POTIGUASSU;PRACA SAO VICENTE DE PAULA;77;NATAL - RN;117
-5.746867700000001;-35.26030780;ESCOLA ESTADUAL PROFESSOR ANTONIO FAGUNDES;AV DAS FRONTEIRAS;2295;NATAL - RN;118
-5.7526690;-35.20330340;ESCOLA ESTADUAL PROFESSORA LEONOR LIMA;AVENIDA FRANCISCO IVO;196;NATAL - RN;125
-5.8185143;-35.2183928;ESCOLA ESTADUAL PRESIDENTE KENNEDY;RUA JAGUARARI;2100;NATAL - RN;131
-5.82744950;-35.20259970;ESCOLA ESTADUAL HEGESIPPO REIS;RUA CLAUDIONOR FIGUEIREDO;405;NATAL - RN;133
-5.794478499999999;-35.21095310;ESCOLA ESTADUAL IRMA SCHEILLA;RUA INDUSTRIAL JOAO FRANCISCO DA MOTA;2000;NATAL - RN;134
-5.821038499999999;-35.25896810;ESCOLA ESTADUAL CLARA CAMARAO;RUA ITAMAR MACIEL;37;NATAL - RN;139
-5.813407199999999;-35.20527060;CE DE CAPACITACAO DE ED E ATEN SURDO - CAS;RUA AMARO MESQUITA;20;NATAL - RN;141
-5.785343699999999;-35.1993940;CE EDUC PROFIS SEN JESSE PINTO FREIRE - CENEP;RUA TRAIRI;480;NATAL - RN;144
-5.7934473241887865;-35.32907364180301;ESCOLA ESTADUAL DOUTOR OTAVIANO;PC SEN DINARTE MARIZ;92;SAO GONCALO DO AMARANTE - RN;147
-5.776557310212229;-35.26090397591861;ESCOLA ESTADUAL PADRE HUDSON BRANDAO;RUA SAO JOAO;468;SAO GONCALO DO AMARANTE - RN;151
-5.769156468629065;-35.27619934563597;ESCOLA ESTADUAL JOSE VIEIRA;RUA NOVA ARUEIRA;19;SAO GONCALO DO AMARANTE - RN;154
-5.783457244366789;-35.32878004423219;ESCOLA ESTADUAL VEREADOR JOSE MOACIR DE OLIVEIRA;RUA JOAO PAULO VI;16;SAO GONCALO DO AMARANTE - RN;155
-6.19496240;-35.1601980;ESCOLA ESTADUAL JACUMAUMA;RUA LEONIDAS DE PAULA;251;AREZ - RN;158
-6.373011699999999;-35.00944890;ESCOLA ESTADUAL PROFESSOR PAULO FREIRE;RUA JOSE SEVERINO MARQUES;1;BAIA FORMOSA - RN;160
-6.38285370;-35.12485680;ESCOLA ESTADUAL 4 DE MARCO;R JOAQUIM MANOEL;47;CANGUARETAMA - RN;163
